dow,date,artist,venue,price,property7
Tue,12.2,Coastgaard,Glasslands Gallery,$10.00,Get Tickets
Wed,12.3,Chrome Canyon,Glasslands Gallery,$12.00,Get Tickets
Thu,12.4,"TEEN, Beverly",Glasslands Gallery,$12.00,Get Tickets
Fri,12.5,The Blow,Glasslands Gallery,$12.00,Get Tickets
Fri,12.5,Lemonade & Tim and Ben of Cut Copy (Tag Team DJ set),Glasslands Gallery,$15.00 - $20.00,Get Tickets
Sat,12.6,Peelander-Z!,Glasslands Gallery,$12.00,Get Tickets
Sat,12.6,CHERYL: Nail in the Coffin,Glasslands Gallery,$10,Tickets at the Door
Sun,12.7,Neighbors,Glasslands Gallery,$10.00,Get Tickets
Mon,12.8,Yellow Ostrich (Final Show!),Glasslands Gallery,$15.00,Get Tickets
Tue,12.9,Jana Hunter of Lower Dens,Glasslands Gallery,$10.00 - $12.00,Get Tickets
Wed,12.1,Waxahatchee,Glasslands Gallery,$14.00 - $16.00,Sold Out
Thu,12.11,Suckers,Glasslands Gallery,$12.00 - $14.00,Get Tickets
Fri,12.12,Bear Hands,Glasslands Gallery,$15.00,Get Tickets
Fri,12.12,Penguin Prison (DJ Set w/ Live Vocals),Glasslands Gallery,$15.00,Get Tickets
Sat,12.13,Computer Magic,Glasslands Gallery,$10.00,Get Tickets
Sat,12.13,Kissy Sell Out,Glasslands Gallery,$12.00,Get Tickets
Sun,12.14,Crocodiles,Glasslands Gallery,$10.00 - $12.00,Get Tickets
Tue,12.16,How To Dress Well,Glasslands Gallery,$22.00,Get Tickets
Wed,12.17,Beach Fossils,Glasslands Gallery,$20.00,Get Tickets
Thu,12.18,Delicate Steve,Glasslands Gallery,$12.00,Get Tickets
Thu,12.18,"Let's Play House with..., The Black Madonna",Glasslands Gallery,$15.00,Get Tickets
Fri,12.19,"TK Wonder, Kissey",Glasslands Gallery,$10.00,Get Tickets
Fri,12.19,"Adventure[s] presents:, #RIPGlasslands / #Glasslands4Ever",Glasslands Gallery,$5.00,Get Tickets
Sat,12.2,Widowspeak,Glasslands Gallery,$12.00,Get Tickets
Sat,12.2,Com Truise,Glasslands Gallery,$15.00 - $17.00,Get Tickets
Sun,12.21,Dave Harrington & Friends Holiday Spectacular!,Glasslands Gallery,$10.00 - $12.00,Get Tickets
Fri,12.26,Ducktails,Glasslands Gallery,$12.00,Get Tickets
Fri,12.26,Bit Funk,Glasslands Gallery,$12.00 - $15.00,Get Tickets
Sat,12.27,Fiasco,Glasslands Gallery,$10.00,Get Tickets
Sat,12.27,"Chrome Sparks (DJ Set), Kitty",Glasslands Gallery,$10.00,Get Tickets
Sun,12.28,Bass Drum Of Death,Glasslands Gallery,$15.00,Get Tickets
Mon,12.29,TR/ST,Glasslands Gallery,$20.00 - $25.00,Get Tickets