name,date,face_value,soldout
Blonde Redhead,Tue 12/02,$25 advance / $30 day of show,Sold Out
tUnE-yArDs,Thu 12/04,$35,Sold Out
tUnE-yArDs,Fri 12/05,$35,Sold Out
tUnE-yArDs,Sat 12/06,$35,Sold Out
tUnE-yArDs,Sun 12/07,$35,Tickets
Jamie T,Mon 12/08,$20,Sold Out
Russian Circles,Thu 12/11,$20,Tickets
Your Old Droog,Fri 12/12,$16 advance / $18 day of show,Tickets
Kelela,Sat 12/13,$20,Cancelled
Speed Rack Season 4 New York: Back to Brooklyn,Sun 12/14,$20 advance / $25 day of show,Tickets
Modern Baseball,Mon 12/15,$16 advance / $19 day of show,Tickets
Reflection Eternal,Tue 12/16,$20 advance / $25 day of show / $80 VIP*,Tickets
Real Estate,Thu 12/18,Free,On SaleWed 12/0312:00 pm EST
Nick Lowe's Quality Holiday Revue,Sat 12/20,$35,Tickets
Sheer Terror,Sat 12/27,$20 advance / $25 day of show,Tickets
The Hold Steady,Tue 12/30,$35,Tickets
The Hold Steady,Wed 12/31,"$75 (Birthday Ticket*), $45",Sold Out
Lovesick: A Wedding Event for the Cool at Heart,Sun 1/04,$10 advance / $15 at the door,Tickets
Rustie,Thu 1/08,$25 advance / $30 day of show,Tickets
Dr. Dog,Fri 1/09,"$35, $30, $25",Tickets
Dr. Dog,Sat 1/10,"$35, $30, $25",Sold Out
Dr. Dog,Sun 1/11,"$35, $30, $25",Tickets
Dr. Dog,Mon 1/12,"$35, $30, $25",Tickets
Wild Child,Sat 1/17,$15,Tickets
They Might Be Giants,Sun 1/25,$25,Sold Out
Owen Pallett,Thu 1/29,$15,Tickets
Giraffage,Sat 1/31,$15 advance / $18 day of show,Tickets
Robert Earl Keen,Tue 2/10,$35,On SaleFri 12/0512:00 pm EST
Sturgill Simpson,Thu 2/12,$20 advance / $25 day of show,Sold Out
Brooke Fraser,Fri 2/13,$20,Tickets
A Place to Bury Strangers,Tue 2/17,$14 advance / $16 day of show,Tickets
They Might Be Giants,Sun 2/22,$25 / $100 (4-Pack*),Tickets
The Dodos,Fri 2/27,$20 advance / $22 day of show,Tickets
Murder By Death,Sun 3/01,$20 advance / $25 day of show,Tickets
Hundred Waters,Thu 3/05,$15 advance / $17 day of show,Tickets
Milo Greene,Fri 3/13,$17,Tickets
Ibeyi,Wed 3/25,$15,On SaleFri 12/0512:00 pm EST
The Lone Bellow,Thu 3/26,$25,Tickets
Swervedriver,Fri 3/27,$20,Tickets
Milky Chance,Sat 3/28,$20,Sold Out
They Might Be Giants,Sun 3/29,$25 / $100 (4-Pack*),Tickets
Twin Shadow,Tue 3/31,$25,On SaleFri 12/0512:00 pm EST
Twin Shadow,Wed 4/01,$25,Sold Out
Benjamin Booker,Fri 4/03,$20,Sold Out
Young Fathers,Fri 4/10,$16 advance / $18 day of show,Tickets
They Might Be Giants,Sun 4/26,$25 / $100 (4-Pack*),Tickets
They Might Be Giants,Sun 5/31,$25 / $100 (4-Pack*),Tickets